OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,TLE_LINE1,TLE_LINE2
IRNSS-1F,,2025-12-06T01:57:21.943872,0.0,0.0,4.8637,0.0,0.0,0.0,0,U,41384,0,0,0.0,0.0,0.0,1 41384U 16015A   25340.08150398  .00000165  00000+0  00000+0 0  9991,2 41384   4.8637 101.4647 0022434 179.8484 215.5292  1.00269013 35735
IRNSS-1G,,2025-12-06T05:43:12.737568,0.0,0.0,4.7168,0.0,0.0,0.0,0,U,41469,0,0,0.0,0.0,0.0,1 41469U 16027A   25340.23834187 -.00000330  00000+0  00000+0 0  9995,2 41469   4.7168 102.2670 0004664 336.9918 211.2848  1.00252472 35242
IRNSS-1I,,2025-12-05T20:48:16.684992,0.0,0.0,29.1335,0.0,0.0,0.0,0,U,43286,0,0,0.0,0.0,0.0,1 43286U 18035A   25339.86685978  .00000073  00000+0  00000+0 0  9997,2 43286  29.1335  77.2048 0021984 180.9988 183.8684  1.00268269 28140
IRS-P5 (CARTOSAT-1),,2025-12-06T00:50:47.654592,0.0,0.0,97.5495,0.0,0.0,0.0,0,U,28649,0,0,0.0,0.0,0.0,1 28649U 05017A   25340.03527378  .00003451  00000+0  36000-3 0  9995,2 28649  97.5495   6.7461 0001653  51.3349 308.8017 14.90370093115048
IRS-P6 (RESOURCESAT-,,2025-12-06T07:19:17.710176,0.0,0.0,98.2187,0.0,0.0,0.0,0,U,28051,0,0,0.0,0.0,0.0,1 28051U 03046A   25340.30506609  .00000438  00000+0  16106-3 0  9993,2 28051  98.2187  21.0102 0063823 200.0411 222.9995 14.36070444152840
KAZEOSAT 1,,2025-12-06T06:25:48.847008,0.0,0.0,98.3443,0.0,0.0,0.0,0,U,39731,0,0,0.0,0.0,0.0,1 39731U 14024A   25340.26792647  .00000533  00000+0  17551-3 0  9993,2 39731  98.3443  52.3204 0001064  99.5309 260.6001 14.42057067610758
KAZEOSAT 2,,2025-12-06T07:00:18.715392,0.0,0.0,97.5516,0.0,0.0,0.0,0,U,40010,0,0,0.0,0.0,0.0,1 40010U 14033A   25340.29188328  .00001502  00000+0  18123-3 0  9996,2 40010  97.5516 184.9393 0007377 230.4969 129.5595 14.85152176620323
LAGEOS 1,,2025-12-06T07:40:28.178976,0.0,0.0,109.8362,0.0,0.0,0.0,0,U,8820,0,0,0.0,0.0,0.0,1 08820U 76039A   25340.31977059  .00000003  00000+0  00000+0 0  9999,2 08820 109.8362 113.2934 0044659 343.5581  36.6273  6.38664870900823
LATINSAT B,,2025-12-05T18:17:54.094560,0.0,0.0,64.5535,0.0,0.0,0.0,0,U,27606,0,0,0.0,0.0,0.0,1 27606U 02058B   25339.76243165  .00001712  00000+0  25218-3 0  9993,2 27606  64.5535 123.2896 0080076 308.1974  51.1935 14.76600043233536
LOGSATS,,2025-12-06T04:07:03.972864,0.0,0.0,97.412,0.0,0.0,0.0,0,U,62689,0,0,0.0,0.0,0.0,1 62689U 25009CJ  25340.17157376  .00106784  00000+0  22041-2 0  9994,2 62689  97.4120  61.8566 0004293 252.4026 107.6754 15.45456009 49661
